,MonthPE,Date,Season,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2020-04-29,4,2020-04-29,Spring,13.753333333333334,19.373333333333335,65.8,996.3866666666667,224.13333333333333,5.533333333333333,45.86666666666667,229.93333333333334,201.46666666666667
2020-04-30,4,2020-04-30,Spring,12.84,14.08,59.06666666666667,991.48,225.66666666666666,6.6466666666666665,67.33333333333333,238.06666666666666,196.73333333333332
2020-05-01,5,2020-05-01,Spring,13.533333333333333,14.046666666666665,60.2,992.8866666666667,253.0,5.713333333333334,181.0,297.6666666666667,199.2
2020-05-02,5,2020-05-02,Spring,13.513333333333332,11.04,50.6,1001.8066666666667,279.1333333333333,3.4866666666666664,222.53333333333333,365.53333333333336,234.46666666666667
2020-05-03,5,2020-05-03,Spring,13.886666666666665,22.220000000000002,74.0,1005.6266666666667,204.13333333333333,2.533333333333333,48.53333333333333,212.66666666666666,180.46666666666667
2020-05-04,5,2020-05-04,Spring,16.779999999999998,20.14,64.66666666666667,1006.02,51.53333333333333,2.1933333333333334,25.066666666666666,261.73333333333335,243.46666666666667
2020-05-05,5,2020-05-05,Spring,11.5,22.87857142857143,72.42857142857143,1005.65,69.0,4.064285714285714,7.857142857142857,166.57142857142858,160.92857142857142
2020-05-06,5,2020-05-06,Spring,16.6875,16.025,45.625,1011.23125,71.6875,3.00625,558.3125,453.9375,92.125
2020-05-07,5,2020-05-07,Spring,17.89333333333333,11.306666666666667,37.2,1011.1266666666667,96.26666666666667,2.253333333333333,530.5333333333333,468.4,141.8
2020-05-08,5,2020-05-08,Spring,20.02,20.146666666666665,48.53333333333333,1005.24,79.53333333333333,2.146666666666667,216.8,343.4,191.13333333333333
2020-05-09,5,2020-05-09,Spring,19.720000000000002,30.18,67.46666666666667,999.5866666666666,115.53333333333333,1.4400000000000002,40.86666666666667,244.66666666666666,213.86666666666667
2020-05-10,5,2020-05-10,Spring,19.773333333333333,28.626666666666665,64.66666666666667,993.4933333333333,160.4,1.88,26.4,231.6,217.6
2020-05-11,5,2020-05-11,Spring,10.7,14.95,45.75,999.3125,28.9375,7.85625,209.25,307.8125,182.375
2020-05-12,5,2020-05-12,Spring,11.31875,8.0125,42.125,1006.80625,50.375,3.9375,386.5625,407.5,171.6875
2020-05-13,5,2020-05-13,Spring,12.06875,10.31875,48.0625,1000.68125,35.5625,5.3625,380.75,437.3125,161.5
2020-05-14,5,2020-05-14,Spring,11.475,8.69375,48.5,1005.5125,40.8125,5.88125,614.8125,489.8125,100.25
2020-05-15,5,2020-05-15,Spring,13.2625,9.0375,48.875,1009.79375,24.8125,4.5125,680.8125,500.5625,77.4375
2020-05-16,5,2020-05-16,Spring,15.387500000000001,10.925,47.1875,1012.2125,184.8125,3.1125,571.3125,464.875,130.6875
2020-05-17,5,2020-05-17,Spring,16.74375,18.53125,44.5,1014.1375,137.25,1.94375,616.1875,485.1875,97.6875
2020-05-18,5,2020-05-18,Spring,18.89375,21.25,45.4375,1014.275,324.0,2.29375,618.125,483.5625,90.9375
2020-05-19,5,2020-05-19,Spring,19.64375,18.0875,46.1875,1012.525,283.3125,2.94375,643.25,492.125,86.5625
2020-05-20,5,2020-05-20,Spring,22.40625,23.1875,47.875,1010.3125,51.25,2.5875,631.5,488.3125,87.375
2020-05-21,5,2020-05-21,Spring,25.23125,23.79375,48.4375,1009.19375,208.375,1.2375,500.0,459.5,133.0
2020-05-22,5,2020-05-22,Spring,22.0375,31.5125,59.125,1009.1875,255.1875,4.03125,84.5,285.875,215.0625
2020-05-23,5,2020-05-23,Spring,16.55625,14.95,45.25,1016.65625,277.125,4.85625,171.8125,331.625,226.3125
2020-05-24,5,2020-05-24,Spring,16.46875,18.9625,55.9375,1021.78125,306.375,3.325,349.4375,424.3125,214.25
2020-05-25,5,2020-05-25,Spring,19.41875,18.96875,51.0625,1022.43125,44.0625,2.91875,339.1875,417.3125,210.5625
2020-05-26,5,2020-05-26,Spring,21.0625,17.3375,45.875,1022.8375,40.875,3.69375,643.75,504.875,92.5625
2020-05-27,5,2020-05-27,Spring,21.725,22.575,45.25,1021.53125,41.75,3.39375,603.125,495.625,102.25
2020-05-28,5,2020-05-28,Spring,19.725,17.00625,51.625,1018.15,41.3125,4.3,651.3125,508.3125,89.0625
2020-05-29,5,2020-05-29,Spring,20.19375,11.34375,39.0625,1012.95,71.5625,4.2875,717.875,525.375,71.1875
2020-05-30,5,2020-05-30,Spring,20.9375,15.26875,42.875,1009.0,80.25,4.075,679.75,516.25,83.1875
2020-05-31,5,2020-05-31,Spring,19.85,15.34375,40.875,1008.0125,74.0625,4.50625,626.3125,508.0,100.0
2020-06-01,6,2020-06-01,Spring,21.5625,16.23125,46.5625,1007.28125,67.8125,3.95,669.8125,515.9375,83.25
2020-06-02,6,2020-06-02,Spring,24.60625,20.55,43.4375,1004.89375,67.4375,1.5875,586.75,502.4375,106.75
2020-06-03,6,2020-06-03,Spring,21.7,24.4625,49.8125,993.9375,24.4375,2.90625,281.0,408.25,214.0
2020-06-04,6,2020-06-04,Spring,14.66875,21.81875,68.75,990.11875,255.4375,3.71875,0.0,138.1875,138.1875
2020-06-05,6,2020-06-05,Spring,14.28125,20.8375,65.3125,989.43125,258.5,6.4125,2.625,201.8125,200.125
